accountName,rating,industry
Account data loader test 1,Hot,Automobile
Account data loader test 2,Hot,Automobile
Account data loader test 3,Hot,Automobile
Account data loader test 4,Hot,Automobile
Account data loader test 5,Hot,Automobile
Account data loader test 6,Hot,Automobile
Account data loader test 7,Hot,Automobile
Account data loader test 8,Hot,Automobile
Account data loader test 9,Hot,Automobile
Account data loader test 10,Hot,Automobile
Account data loader test 11,Hot,Automobile
Account data loader test 12,Hot,Automobile
Account data loader test 13,Hot,Automobile
Account data loader test 14,Hot,Automobile
Account data loader test 15,Hot,Automobile
Account data loader test 16,Hot,Automobile
Account data loader test 17,Hot,Automobile
